Linguistic,Logical-Mathematical,Spatial,Bodily-Kinesthetic,Musical,Interpersonal,Intrapersonal,Naturalistic,Programming,Data_Analysis,Creativity,Mechanical_Skills,Building_Skills,Communication,Empathy,Writing,Marketing,Design_Skills,Recommended_Career_1,Recommended_Career_2,Recommended_Career_3
88,29,26,21,34,32,45,67,1,1,0,0,1,0,1,0,1,0,Civil Engineer,Psychologist,Software Developer
70,63,62,86,78,52,21,82,0,0,0,0,1,1,0,1,0,0,Digital Marketer,UX/UI Designer,Graphic Designer
74,85,75,60,79,31,26,74,0,1,1,1,1,1,0,1,1,1,Data Scientist,Teacher,Mechanical Engineer
92,47,44,64,21,67,20,84,0,0,1,0,0,1,0,0,1,1,Lawyer,Doctor,Mechanical Engineer
99,65,81,27,97,63,36,45,1,1,0,0,1,1,1,0,0,1,UX/UI Designer,Doctor,Teacher
83,88,66,93,81,29,41,38,0,0,1,0,1,1,0,1,1,1,Software Developer,Financial Analyst,Architect
64,46,32,86,76,77,79,64,0,0,1,0,0,0,0,0,1,0,Mechanical Engineer,Marketing Manager,Graphic Designer
52,27,31,81,36,51,28,91,0,0,1,0,0,1,1,0,1,0,Mechanical Engineer,Psychologist,Data Scientist
28,51,30,62,65,38,61,28,1,1,1,1,0,0,0,1,1,0,Mechanical Engineer,Architect,Graphic Designer
33,65,79,86,65,38,52,70,0,0,1,1,0,0,0,0,1,0,Architect,Doctor,Graphic Designer
85,24,51,77,72,28,88,37,0,0,1,1,1,1,1,1,1,0,Mechanical Engineer,Civil Engineer,Graphic Designer
100,41,81,78,34,52,61,56,0,0,1,1,0,0,0,0,1,0,Graphic Designer,Psychologist,Teacher
94,68,93,51,90,81,96,52,0,0,1,1,1,0,0,0,0,0,Financial Analyst,Graphic Designer,Mechanical Engineer
70,95,74,52,59,47,26,54,1,1,0,1,1,1,1,0,0,1,Digital Marketer,Mechanical Engineer,Marketing Manager
75,40,48,36,20,98,28,59,0,0,1,0,0,0,0,0,1,1,Marketing Manager,Architect,Data Scientist
31,40,79,97,56,56,74,39,0,1,1,0,0,0,1,1,1,1,Digital Marketer,Graphic Designer,Lawyer
72,37,68,22,99,44,43,63,1,0,1,0,0,1,1,1,1,0,Graphic Designer,Content Writer,Psychologist
71,96,79,73,41,50,84,88,0,0,0,0,0,0,1,0,0,0,Financial Analyst,Data Scientist,Content Writer
63,61,21,66,87,90,47,88,1,0,1,1,0,1,0,1,0,0,Content Writer,Digital Marketer,Software Developer
77,67,92,27,36,72,90,60,1,0,0,0,0,0,1,1,1,0,Financial Analyst,Psychologist,UX/UI Designer
30,83,99,58,45,83,94,61,0,0,1,1,0,0,1,1,0,0,Teacher,Mechanical Engineer,Digital Marketer
92,91,86,55,51,84,56,61,1,0,1,1,1,0,1,0,1,1,Doctor,Mechanical Engineer,Psychologist
89,97,49,56,57,74,36,41,1,1,0,0,0,1,1,1,1,0,Digital Marketer,Software Developer,Content Writer
58,45,77,53,97,52,40,83,1,1,0,0,1,0,0,0,0,1,Financial Analyst,Marketing Manager,Psychologist
45,55,81,32,100,80,21,76,1,0,1,1,1,0,0,0,1,1,UX/UI Designer,Teacher,Data Scientist
81,44,72,44,35,49,67,21,1,0,0,1,1,0,1,0,0,0,Architect,Financial Analyst,Teacher
62,86,96,77,57,90,72,39,1,1,1,0,1,1,1,1,1,1,Financial Analyst,Teacher,Lawyer
78,77,23,51,21,57,100,92,0,1,0,1,0,0,1,1,0,0,Financial Analyst,Digital Marketer,Marketing Manager
79,38,90,43,83,37,75,80,1,0,1,1,0,0,1,0,1,0,Content Writer,Marketing Manager,Architect
93,55,39,88,28,56,54,98,1,0,1,0,1,0,1,0,0,0,Mechanical Engineer,Lawyer,Graphic Designer
26,38,28,20,52,60,70,40,1,0,1,0,0,0,1,0,0,1,Lawyer,Software Developer,Psychologist
47,53,78,88,92,51,87,72,0,1,0,1,0,1,1,0,1,0,Content Writer,Digital Marketer,Doctor
55,71,95,98,66,61,41,36,1,0,1,0,0,1,1,0,1,0,Marketing Manager,Mechanical Engineer,Data Scientist
34,66,63,68,45,98,21,41,1,1,0,1,0,1,1,1,0,1,Digital Marketer,Lawyer,Architect
34,45,94,49,85,57,71,71,0,1,1,0,0,1,0,0,0,1,Digital Marketer,Data Scientist,Financial Analyst
98,94,85,33,50,34,33,87,1,1,1,1,1,0,1,0,1,0,Graphic Designer,Data Scientist,Architect
22,45,43,99,97,98,100,41,0,0,0,1,0,0,1,0,0,0,Mechanical Engineer,Lawyer,Content Writer
31,32,53,90,100,23,92,30,1,1,1,1,1,0,1,0,1,0,Mechanical Engineer,Content Writer,UX/UI Designer
74,87,26,51,33,31,73,52,1,0,0,0,0,0,1,0,1,0,Lawyer,Marketing Manager,Data Scientist
84,25,90,32,65,26,44,65,1,1,1,0,1,0,1,0,0,1,Marketing Manager,UX/UI Designer,Psychologist
67,46,87,39,34,99,23,53,0,1,1,0,0,1,1,1,1,0,Psychologist,Teacher,Content Writer
71,37,72,70,29,40,60,35,0,1,1,1,0,1,0,1,1,0,Civil Engineer,Mechanical Engineer,Teacher
85,57,34,65,68,98,88,20,0,1,1,1,0,1,0,0,1,1,UX/UI Designer,Teacher,Lawyer
26,28,51,24,30,80,92,66,0,0,1,0,1,0,1,1,1,1,Psychologist,Financial Analyst,Content Writer
92,56,52,79,74,34,45,61,0,1,0,1,1,0,0,1,1,0,Teacher,Marketing Manager,Digital Marketer
56,30,97,76,28,94,59,84,0,0,1,1,0,0,0,0,1,1,Content Writer,Financial Analyst,Graphic Designer
94,40,26,82,85,50,43,38,1,1,0,1,1,1,0,0,1,1,Doctor,Graphic Designer,Marketing Manager
67,61,84,56,70,52,40,51,1,0,0,1,1,1,1,0,0,1,Content Writer,Mechanical Engineer,Data Scientist
54,61,86,33,88,75,98,100,0,0,1,1,1,1,1,0,0,0,Financial Analyst,Content Writer,Civil Engineer
68,50,58,29,21,28,30,57,0,0,0,0,0,1,0,0,1,1,Doctor,Architect,Software Developer
50,22,23,93,94,51,69,89,1,0,1,0,1,0,1,1,0,1,Financial Analyst,Lawyer,Software Developer
76,23,69,68,23,70,30,84,1,0,1,1,1,1,0,0,1,0,Civil Engineer,Content Writer,Software Developer
38,25,41,74,44,66,67,26,1,1,0,0,0,1,0,1,0,0,Doctor,Software Developer,Teacher
42,57,76,48,45,27,29,100,0,0,1,0,1,1,0,1,0,1,Graphic Designer,Doctor,Psychologist
42,38,43,34,67,96,47,93,0,0,1,1,1,1,0,0,0,0,Marketing Manager,UX/UI Designer,Lawyer
59,27,100,92,42,56,47,74,1,0,0,0,1,0,0,1,0,1,Mechanical Engineer,Marketing Manager,Architect
99,72,74,43,63,95,28,48,0,1,1,0,1,0,1,1,1,1,Content Writer,Graphic Designer,Architect
54,55,42,26,65,85,20,81,1,1,0,0,0,0,0,0,0,1,Psychologist,Data Scientist,UX/UI Designer
24,86,61,29,80,63,66,77,1,0,1,1,0,0,1,0,0,0,Data Scientist,Content Writer,Teacher
29,54,86,42,93,30,26,60,1,1,0,0,0,1,1,1,0,0,Software Developer,Digital Marketer,UX/UI Designer
56,51,65,100,80,27,65,55,0,0,0,0,0,1,0,1,1,1,Content Writer,Civil Engineer,Psychologist
66,86,53,33,70,92,92,91,1,1,0,0,0,1,0,1,0,0,UX/UI Designer,Graphic Designer,Civil Engineer
44,21,49,98,96,41,35,31,0,0,1,0,0,1,0,1,1,1,Software Developer,Marketing Manager,Teacher
81,76,57,61,31,45,84,26,0,1,1,1,0,1,0,0,1,0,Architect,Software Developer,Content Writer
23,24,78,30,46,55,83,97,0,1,1,0,1,1,1,1,0,1,Doctor,Architect,UX/UI Designer
99,66,42,66,20,31,64,46,0,0,0,0,0,1,1,0,1,1,Mechanical Engineer,Lawyer,Doctor
73,33,90,20,36,63,91,91,0,0,0,1,0,1,1,1,0,1,Content Writer,UX/UI Designer,Graphic Designer
31,55,52,88,39,91,77,27,0,1,1,0,0,1,0,0,1,1,Architect,Marketing Manager,Teacher
56,75,22,91,36,91,74,89,0,1,1,0,1,0,0,0,0,1,Marketing Manager,Doctor,Psychologist
62,85,27,35,50,88,30,95,1,0,0,0,0,1,1,1,0,1,Content Writer,Data Scientist,Financial Analyst
25,42,26,54,52,69,50,85,0,1,0,1,0,0,1,1,1,1,Civil Engineer,Digital Marketer,Doctor
97,21,53,90,44,46,93,53,1,0,1,0,1,0,0,0,1,1,Graphic Designer,Mechanical Engineer,Digital Marketer
41,34,46,46,37,75,72,67,0,0,1,0,0,1,1,0,0,0,Content Writer,Teacher,Graphic Designer
43,46,68,21,91,56,74,76,0,1,1,1,1,1,0,1,1,0,Marketing Manager,Data Scientist,Digital Marketer
42,67,61,28,99,54,62,25,1,1,0,0,1,0,1,1,1,0,Civil Engineer,Architect,Software Developer
42,84,87,54,35,29,57,83,0,0,1,0,1,0,0,0,0,1,Psychologist,Mechanical Engineer,Digital Marketer
41,87,35,96,27,26,26,94,0,1,1,0,0,1,0,0,1,0,Civil Engineer,Doctor,Architect
55,61,96,20,84,55,86,25,0,1,1,1,1,1,1,1,0,1,Lawyer,Mechanical Engineer,Content Writer
49,37,58,54,82,28,97,35,0,0,1,0,1,0,0,0,0,0,Financial Analyst,Civil Engineer,Mechanical Engineer
93,51,32,91,38,45,94,39,1,0,0,1,1,0,1,1,0,0,Financial Analyst,Doctor,UX/UI Designer
39,85,96,74,58,70,76,87,1,0,1,0,1,1,0,0,0,1,Software Developer,Mechanical Engineer,Doctor
79,77,50,26,31,37,62,45,0,0,0,0,0,0,0,0,1,1,Doctor,Teacher,UX/UI Designer
45,46,82,63,67,45,30,20,1,0,0,1,0,1,1,0,0,0,Teacher,Data Scientist,Architect
80,64,23,68,33,25,86,40,0,0,1,0,1,0,0,0,0,0,Graphic Designer,Marketing Manager,Architect
99,91,95,94,74,64,72,90,1,1,0,1,1,1,0,1,0,1,Financial Analyst,Data Scientist,Mechanical Engineer
45,41,23,49,84,42,51,42,0,0,0,0,1,0,1,1,0,0,Teacher,Mechanical Engineer,Architect
96,55,94,71,30,66,78,62,0,1,0,0,0,0,1,1,1,1,Civil Engineer,Content Writer,UX/UI Designer
29,93,59,68,83,81,42,100,0,0,1,1,0,1,0,1,0,0,Architect,Data Scientist,Marketing Manager
21,100,36,21,33,70,49,26,1,0,0,0,0,1,0,0,1,0,Content Writer,Mechanical Engineer,Lawyer
61,42,76,44,35,74,65,46,0,1,0,1,1,0,1,1,0,0,Graphic Designer,Financial Analyst,Data Scientist
50,24,35,94,20,99,49,30,0,0,0,0,0,0,0,0,0,1,Data Scientist,UX/UI Designer,Psychologist
98,26,61,93,44,67,40,59,0,1,1,1,0,0,0,1,0,0,Teacher,Software Developer,Content Writer
56,77,65,86,92,24,73,52,0,1,0,0,0,1,1,0,0,1,Financial Analyst,UX/UI Designer,Architect
60,25,34,27,84,23,45,70,1,1,1,1,1,1,0,1,1,0,Data Scientist,Lawyer,Teacher
75,65,87,77,54,70,33,85,1,0,0,1,0,1,1,0,1,1,Financial Analyst,Software Developer,Graphic Designer
39,27,41,100,92,82,31,51,1,0,0,1,0,0,1,1,1,0,Data Scientist,Civil Engineer,Marketing Manager
29,36,84,44,46,66,77,60,0,1,1,1,0,1,0,1,1,0,Financial Analyst,Psychologist,Doctor
30,24,36,52,58,60,32,94,1,0,1,1,1,0,0,1,1,0,Software Developer,Lawyer,Financial Analyst
92,82,37,78,68,64,85,20,1,0,1,1,0,1,1,1,1,0,Digital Marketer,Psychologist,Marketing Manager
32,38,97,82,70,22,49,87,1,0,1,1,0,1,1,1,0,1,Architect,Content Writer,Doctor
45,78,24,51,73,23,76,83,0,1,1,0,1,0,0,0,0,1,Software Developer,Financial Analyst,Psychologist
89,24,71,48,31,71,94,42,0,1,1,0,1,0,1,0,1,0,Graphic Designer,Teacher,UX/UI Designer
39,73,82,86,30,21,71,52,1,0,0,0,0,0,1,0,0,0,Psychologist,Civil Engineer,Data Scientist
98,91,63,73,60,40,91,59,1,1,1,1,1,0,1,0,1,1,Content Writer,Digital Marketer,Doctor
63,51,25,94,45,24,78,53,1,0,1,1,1,0,0,0,0,1,Digital Marketer,Content Writer,Doctor
87,51,48,63,92,73,30,30,1,0,1,1,0,1,1,1,0,1,Content Writer,Teacher,Mechanical Engineer
83,56,39,94,25,63,26,76,1,0,1,0,1,1,1,0,1,0,Data Scientist,Digital Marketer,Architect
31,99,50,70,47,45,75,78,0,1,0,1,1,1,0,1,1,0,Data Scientist,UX/UI Designer,Graphic Designer
96,48,23,92,89,55,21,20,0,0,1,0,0,0,1,0,0,1,UX/UI Designer,Marketing Manager,Doctor
67,57,87,53,72,33,43,21,1,0,1,0,1,1,0,1,1,1,Marketing Manager,Civil Engineer,Data Scientist
42,32,95,45,59,32,24,70,0,0,1,0,1,0,0,0,1,0,Financial Analyst,Content Writer,Digital Marketer
47,94,33,63,75,37,41,59,1,1,1,1,0,1,1,1,0,0,Content Writer,Graphic Designer,Marketing Manager
93,45,67,50,25,94,62,44,1,1,1,0,1,1,1,1,1,1,Psychologist,Architect,Doctor
33,64,61,67,99,64,99,77,1,1,0,0,1,0,0,0,0,0,Doctor,Teacher,Lawyer
77,76,55,22,69,69,30,44,1,0,0,0,0,0,0,0,1,0,Teacher,Software Developer,Data Scientist
34,43,75,31,88,61,89,29,0,1,0,1,1,1,0,0,0,0,Software Developer,Architect,Graphic Designer
60,54,56,20,39,95,31,91,0,0,0,0,0,0,0,0,1,0,Digital Marketer,Lawyer,Teacher
62,64,33,62,36,67,74,34,1,0,0,1,1,0,0,1,1,1,Financial Analyst,Lawyer,Teacher
36,68,47,54,60,81,27,51,0,0,1,1,1,1,1,0,1,1,Doctor,Graphic Designer,Financial Analyst
74,24,83,52,97,67,58,84,1,0,1,0,0,1,1,1,1,1,Teacher,Mechanical Engineer,Lawyer
23,35,36,88,46,90,88,39,1,0,0,0,0,0,0,0,0,0,Doctor,UX/UI Designer,Civil Engineer
82,45,85,53,31,83,20,26,0,1,1,1,1,1,0,1,1,1,Mechanical Engineer,Lawyer,Civil Engineer
77,63,48,100,99,32,80,63,0,1,1,1,1,1,1,0,1,0,Data Scientist,Architect,Mechanical Engineer
41,72,49,32,31,76,78,88,0,1,1,1,1,1,1,1,0,1,Civil Engineer,Software Developer,Data Scientist
100,98,100,80,50,99,48,87,1,0,1,1,1,1,1,0,1,1,Graphic Designer,Content Writer,Software Developer
75,100,50,71,82,74,51,91,1,0,0,1,0,1,1,0,1,0,Graphic Designer,Civil Engineer,Architect
85,50,65,57,36,25,59,77,1,1,1,0,1,1,1,0,0,0,Teacher,Mechanical Engineer,Graphic Designer
79,24,94,90,65,90,95,51,1,0,0,0,0,0,1,0,1,1,Mechanical Engineer,Lawyer,Data Scientist
44,20,55,84,95,54,93,88,1,0,1,1,1,0,1,1,0,1,Marketing Manager,Architect,Lawyer
22,20,46,70,79,76,83,89,1,1,1,0,1,1,1,1,0,0,Lawyer,Data Scientist,Marketing Manager
84,35,49,88,44,71,74,89,0,0,0,0,0,0,0,0,1,0,Digital Marketer,Doctor,Data Scientist
53,80,73,67,36,22,35,88,1,1,1,0,1,0,0,0,1,0,Civil Engineer,Architect,Lawyer
90,70,59,91,23,48,92,83,0,1,1,0,1,0,1,1,0,0,Software Developer,Financial Analyst,Architect
60,71,64,38,65,29,63,66,0,0,0,0,1,1,0,1,1,1,Data Scientist,Psychologist,Teacher
88,64,59,100,53,69,26,87,0,1,1,0,0,0,1,1,1,1,Software Developer,Digital Marketer,UX/UI Designer
20,93,100,29,97,78,49,50,1,0,0,1,0,1,0,0,0,0,Lawyer,Digital Marketer,Mechanical Engineer
73,51,63,24,86,97,94,92,0,0,0,1,1,1,0,1,0,1,Teacher,Software Developer,UX/UI Designer
57,94,49,81,44,75,35,56,0,1,0,1,0,1,1,0,0,1,Doctor,Financial Analyst,Teacher
78,88,68,59,55,63,62,83,0,0,0,0,0,1,0,1,0,0,Psychologist,Graphic Designer,Digital Marketer
28,33,84,96,45,93,44,93,0,1,1,1,1,1,0,1,0,1,UX/UI Designer,Lawyer,Marketing Manager
73,66,36,58,57,94,71,93,0,1,0,1,1,1,1,1,1,1,Data Scientist,Mechanical Engineer,Lawyer
91,48,80,62,71,32,74,40,1,1,1,1,1,0,0,0,1,1,Psychologist,Mechanical Engineer,Digital Marketer
27,86,30,51,63,52,63,43,0,1,0,1,1,1,1,1,0,1,Architect,Psychologist,Digital Marketer
97,95,42,87,36,36,90,89,1,1,1,1,0,0,0,0,0,1,Doctor,UX/UI Designer,Financial Analyst
33,36,47,56,100,59,57,28,0,0,1,1,1,1,1,0,0,1,Graphic Designer,Architect,UX/UI Designer
62,20,43,25,57,79,91,64,0,0,0,0,0,0,0,1,0,0,Financial Analyst,Content Writer,Mechanical Engineer
88,34,21,29,50,83,37,60,1,1,1,1,0,0,0,1,1,0,Software Developer,Psychologist,Graphic Designer
37,94,85,94,85,68,25,49,1,1,0,0,0,1,1,1,1,1,Data Scientist,Financial Analyst,Graphic Designer
80,68,49,31,68,21,95,22,1,1,0,0,1,1,1,0,1,0,Architect,Teacher,Psychologist
53,48,20,62,67,48,67,52,0,0,0,1,1,1,1,0,0,0,Doctor,Graphic Designer,Mechanical Engineer
61,93,88,36,94,54,77,75,0,1,0,1,0,1,0,0,0,0,Mechanical Engineer,Financial Analyst,Psychologist
59,60,37,75,21,42,63,37,0,1,0,1,0,0,0,0,1,0,Lawyer,Mechanical Engineer,Psychologist
35,73,39,87,57,31,80,54,0,0,0,1,0,0,0,1,0,1,Digital Marketer,Mechanical Engineer,Content Writer
23,44,68,89,52,66,58,20,1,0,0,0,0,0,0,1,0,1,Architect,Data Scientist,Teacher
28,40,85,90,76,69,81,60,1,0,0,1,1,1,1,1,1,0,Architect,Psychologist,UX/UI Designer
74,24,54,44,86,87,56,53,1,0,0,0,1,1,1,1,1,0,UX/UI Designer,Financial Analyst,Content Writer
52,66,66,32,63,78,31,100,1,1,1,1,1,0,1,1,0,1,UX/UI Designer,Architect,Software Developer
95,25,50,37,22,25,85,72,0,1,0,0,0,0,0,1,0,0,Data Scientist,Marketing Manager,Psychologist
33,24,65,42,82,72,27,90,0,1,0,0,1,1,0,1,0,1,Civil Engineer,Architect,Marketing Manager
87,95,24,31,26,96,82,34,1,0,1,0,1,1,1,1,0,0,Doctor,Civil Engineer,Financial Analyst
84,65,88,24,23,76,70,71,1,0,0,0,1,1,1,1,0,1,Graphic Designer,Doctor,Psychologist
50,56,40,95,91,53,28,70,1,1,0,1,1,0,1,0,0,0,UX/UI Designer,Content Writer,Psychologist
49,20,72,35,23,24,66,46,0,1,0,1,1,0,0,0,1,0,Software Developer,UX/UI Designer,Architect
75,60,48,95,80,66,58,53,1,0,0,1,0,0,1,1,0,1,Graphic Designer,Mechanical Engineer,Content Writer
88,75,55,82,91,85,93,71,1,0,0,0,0,0,1,1,0,1,Civil Engineer,Financial Analyst,Mechanical Engineer
48,38,30,28,25,56,67,37,0,1,0,1,0,0,0,1,1,1,Digital Marketer,Psychologist,Lawyer
29,32,70,97,37,79,79,81,1,1,0,1,0,1,0,0,1,1,Marketing Manager,Graphic Designer,Teacher
78,68,82,97,21,67,24,93,0,0,1,0,1,0,1,1,1,0,Mechanical Engineer,Data Scientist,Graphic Designer
67,58,43,71,65,37,76,100,0,1,0,1,1,1,1,1,0,1,Teacher,Digital Marketer,Lawyer
55,74,22,78,89,73,67,100,0,0,0,1,1,0,0,0,0,0,Doctor,Digital Marketer,Graphic Designer
72,50,76,79,39,95,56,88,1,1,1,0,0,1,0,1,1,0,Graphic Designer,Content Writer,Data Scientist
86,75,21,67,65,86,37,88,0,0,0,0,0,0,1,1,1,0,Mechanical Engineer,Psychologist,Digital Marketer
56,70,97,29,95,56,90,39,0,1,1,1,0,1,1,1,0,1,Architect,Lawyer,Marketing Manager
31,99,68,81,84,76,90,74,1,0,0,1,1,0,0,0,1,0,Mechanical Engineer,Data Scientist,Architect
71,92,73,50,34,54,38,79,1,1,0,0,1,1,0,1,1,0,Doctor,Architect,Psychologist
63,61,51,73,82,47,53,30,0,1,1,0,0,1,0,0,1,0,Data Scientist,Doctor,Psychologist
39,94,42,84,39,44,45,40,1,0,1,0,0,1,0,1,1,1,Data Scientist,Graphic Designer,Marketing Manager
31,84,68,27,97,22,60,52,1,0,1,1,0,0,1,0,1,1,Architect,Content Writer,Lawyer
98,36,55,97,50,42,76,73,1,0,1,1,1,1,0,1,1,1,UX/UI Designer,Marketing Manager,Doctor
69,44,22,31,71,21,24,95,1,1,0,1,0,1,1,0,0,0,Marketing Manager,Digital Marketer,Teacher
41,49,69,33,47,71,90,51,1,0,1,0,1,1,1,1,1,0,Lawyer,Civil Engineer,Doctor
56,38,92,57,61,93,45,72,0,1,1,0,0,1,1,1,1,0,Content Writer,Doctor,Psychologist
35,94,95,69,69,49,64,36,0,1,0,1,1,1,1,1,1,0,Psychologist,Architect,Digital Marketer
59,79,41,42,56,93,70,86,0,0,1,1,1,0,0,0,1,1,Financial Analyst,Marketing Manager,Mechanical Engineer
96,78,23,96,35,71,51,76,1,1,1,1,1,0,0,0,0,1,Architect,Marketing Manager,Financial Analyst
44,85,91,52,96,37,69,59,1,1,0,0,0,0,0,1,0,0,Digital Marketer,UX/UI Designer,Content Writer
88,23,60,42,87,29,50,61,1,0,0,0,1,1,1,1,0,1,Doctor,Psychologist,UX/UI Designer
64,90,70,80,52,42,52,71,1,0,0,0,0,1,1,0,0,1,Lawyer,Digital Marketer,Data Scientist
61,72,38,84,35,24,63,45,1,0,1,1,0,0,1,0,0,0,Civil Engineer,Data Scientist,Architect
22,77,81,73,44,76,33,62,0,1,0,0,1,1,0,0,0,0,Doctor,Psychologist,Marketing Manager
77,45,79,47,84,43,61,63,0,1,1,0,0,0,1,1,0,1,Financial Analyst,Doctor,Data Scientist
82,29,78,86,53,65,64,62,1,1,0,1,0,1,1,0,0,1,Lawyer,Data Scientist,Doctor
72,88,73,48,27,95,32,29,1,0,0,0,0,1,1,1,0,0,Graphic Designer,Psychologist,Marketing Manager
60,82,85,91,27,23,44,61,0,1,0,0,1,0,1,0,0,1,Teacher,Civil Engineer,Financial Analyst
54,67,37,92,92,45,75,84,0,0,1,0,1,0,0,1,0,0,Data Scientist,Psychologist,Graphic Designer
94,35,90,100,91,30,65,30,1,0,1,0,0,0,0,0,0,0,Data Scientist,Marketing Manager,Financial Analyst
68,49,42,30,63,42,97,75,1,0,1,1,0,0,0,1,1,0,Content Writer,Marketing Manager,Financial Analyst
75,90,89,70,91,64,99,80,0,1,0,0,0,1,1,1,1,0,Teacher,Software Developer,Content Writer
84,49,65,39,54,64,57,37,1,0,0,0,0,0,0,1,1,1,Psychologist,Financial Analyst,Digital Marketer
36,76,39,62,43,20,57,42,1,1,0,1,0,1,0,0,0,0,Financial Analyst,Digital Marketer,Psychologist
67,25,91,81,74,64,33,60,1,0,0,0,0,1,1,0,1,1,Digital Marketer,Graphic Designer,Financial Analyst
78,100,64,66,50,52,99,35,0,0,0,0,1,1,1,1,0,1,UX/UI Designer,Content Writer,Civil Engineer
91,76,68,41,21,57,50,80,1,1,0,1,0,1,1,1,0,1,Financial Analyst,UX/UI Designer,Civil Engineer
98,58,79,61,21,82,35,66,0,0,0,0,1,0,0,1,0,1,Digital Marketer,Marketing Manager,Graphic Designer
20,64,71,34,61,71,26,55,0,0,0,0,0,1,0,1,0,0,UX/UI Designer,Software Developer,Architect
96,84,96,33,32,50,38,71,1,1,0,1,0,0,1,1,0,0,Architect,Content Writer,Psychologist
100,31,57,36,41,21,89,70,0,1,0,0,0,0,0,1,0,0,Graphic Designer,Marketing Manager,Teacher
27,80,68,88,28,27,31,43,1,0,0,1,1,0,1,1,1,1,Civil Engineer,Data Scientist,Software Developer
100,39,98,22,38,60,39,50,1,0,1,0,0,1,1,1,0,1,Civil Engineer,Graphic Designer,Digital Marketer
90,49,79,27,38,56,42,66,0,0,1,1,0,0,1,0,0,1,Graphic Designer,Architect,UX/UI Designer
89,30,37,21,30,55,36,29,1,0,1,1,1,0,0,0,1,0,Content Writer,Architect,Psychologist
44,56,67,80,25,27,91,39,1,0,0,1,0,1,0,0,1,1,Architect,Doctor,Teacher
